age,job,job_type,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,annual_income,y
39,government_job,White-collar,single,+2,no,51631,yes,no,Ncell,2,feb,920,3,-1,1,unsuccessful,396000,no
19,teacher,White-collar,divorced,none,yes,147199,no,no,field_visit,20,apr,1016,3,-1,3,not_contacted,69120,no
59,government_job,White-collar,divorced,+2,no,154274,yes,yes,NTC,29,dec,179,1,-1,3,not_contacted,330000,no
30,bank_employee,White-collar,married,bachelor,no,147721,yes,no,Ncell,21,may,400,4,-1,5,successful,624000,yes
18,driver,Blue-collar,divorced,slc,no,41669,no,no,NTC,31,jan,1008,5,-1,0,not_contacted,77760,no
25,bank_employee,White-collar,married,masters,no,7953,yes,no,NTC,14,sep,1107,1,-1,5,unsuccessful,936000,no
22,construction_worker,Blue-collar,divorced,masters,no,89119,no,yes,Ncell,25,sep,487,4,-1,5,successful,259200,no
63,unemployed,Unemployed,single,bachelor,no,77524,yes,no,Ncell,21,jul,330,4,-1,1,not_contacted,48000,no
28,construction_worker,Blue-collar,divorced,slc,no,66448,no,no,Ncell,4,jan,572,3,-1,4,not_contacted,129600,no
61,private_office,White-collar,single,bachelor,yes,59215,yes,no,unknown,13,jul,364,4,-1,3,unsuccessful,480000,no
39,government_job,White-collar,single,+2,no,83792,yes,no,field_visit,26,jan,1010,1,-1,3,not_contacted,396000,no
18,farmer,Business,divorced,+2,no,132630,yes,no,field_visit,27,oct,1154,1,-1,3,unsuccessful,90000,no
54,shopkeeper,Business,married,slc,no,64572,no,yes,unknown,17,feb,815,5,-1,1,unsuccessful,166320,no
36,farmer,Business,married,slc,no,111280,no,no,unknown,21,sep,1020,3,-1,4,not_contacted,129600,yes
53,shopkeeper,Business,married,slc,no,71913,no,yes,Ncell,28,aug,703,2,-1,5,not_contacted,166320,no
67,unemployed,Unemployed,single,+2,no,146504,yes,no,unknown,12,jan,151,5,-1,0,unsuccessful,30000,no
18,government_job,White-collar,married,bachelor,no,80793,no,no,NTC,30,feb,336,1,-1,2,not_contacted,316800,no
52,government_job,White-collar,married,masters,no,103671,yes,no,Ncell,29,apr,414,5,-1,2,successful,871200,no
39,shopkeeper,Business,single,slc,no,42529,yes,yes,Ncell,3,sep,187,3,-1,2,successful,181440,yes
64,private_office,White-collar,single,none,no,33773,yes,no,unknown,27,jul,741,5,-1,1,not_contacted,144000,no
18,private_office,White-collar,divorced,bachelor,no,9536,yes,no,unknown,17,jun,508,5,-1,1,not_contacted,288000,no
19,IT_professional,White-collar,single,bachelor,no,60285,no,no,field_visit,3,jun,97,5,-1,1,not_contacted,460800,no
26,unemployed,Unemployed,married,bachelor,no,114448,yes,no,unknown,23,jul,1129,1,-1,5,successful,48000,no
25,government_job,White-collar,single,slc,no,112696,yes,no,Ncell,24,oct,624,3,-1,4,not_contacted,237600,no
58,teacher,White-collar,single,+2,no,89542,yes,no,NTC,28,dec,386,5,-1,4,unsuccessful,240000,no
19,teacher,White-collar,married,masters,no,70975,yes,no,Ncell,2,nov,798,5,-1,0,not_contacted,345600,no
34,farmer,Business,divorced,bachelor,no,119195,yes,no,Ncell,22,sep,276,1,-1,3,not_contacted,240000,no
33,construction_worker,Blue-collar,divorced,bachelor,no,83974,yes,no,field_visit,11,jul,712,1,-1,0,not_contacted,288000,yes
68,driver,Blue-collar,married,+2,no,53401,yes,yes,unknown,15,feb,1193,2,-1,0,unsuccessful,180000,no
19,farmer,Business,divorced,bachelor,no,76636,no,no,field_visit,13,jul,748,2,5,0,unsuccessful,144000,no
58,unemployed,Unemployed,married,bachelor,no,119496,yes,yes,NTC,7,jun,550,4,-1,1,not_contacted,48000,yes
51,bank_employee,White-collar,divorced,+2,no,57995,yes,no,unknown,6,dec,946,5,-1,4,not_contacted,429000,no
37,private_office,White-collar,married,bachelor,no,101791,yes,no,Ncell,21,nov,208,3,-1,2,successful,576000,no
26,farmer,Business,single,+2,no,73336,no,no,Ncell,30,jun,348,1,-1,2,successful,150000,no
44,driver,Blue-collar,married,+2,yes,22499,yes,no,unknown,20,sep,889,4,-1,1,unsuccessful,216000,no
67,shopkeeper,Business,single,bachelor,no,104537,yes,yes,field_visit,20,apr,48,4,-1,0,successful,336000,no
30,shopkeeper,Business,single,bachelor,no,91907,yes,no,NTC,11,dec,247,5,-1,1,unsuccessful,336000,no
29,government_job,White-collar,single,+2,no,83217,yes,no,Ncell,17,apr,488,1,-1,1,not_contacted,330000,no
27,IT_professional,White-collar,married,bachelor,no,124326,yes,no,field_visit,30,nov,1050,3,-1,3,not_contacted,768000,no
62,IT_professional,White-collar,married,masters,no,80487,yes,no,Ncell,26,nov,537,2,-1,4,not_contacted,1152000,no
33,teacher,White-collar,single,+2,no,131382,no,no,NTC,6,sep,1178,3,-1,4,unsuccessful,240000,no
40,shopkeeper,Business,married,bachelor,no,55023,yes,no,NTC,4,dec,934,3,-1,2,not_contacted,403200,no
35,teacher,White-collar,married,+2,no,77041,yes,no,unknown,29,nov,655,1,10,2,not_contacted,288000,no
33,shopkeeper,Business,divorced,bachelor,no,62444,yes,no,Ncell,4,dec,709,5,-1,1,unsuccessful,336000,no
45,driver,Blue-collar,single,+2,no,42139,yes,yes,unknown,20,feb,989,2,-1,2,not_contacted,198000,no
65,teacher,White-collar,single,+2,no,109868,no,yes,NTC,12,jun,919,5,-1,2,not_contacted,240000,no
50,private_office,White-collar,married,masters,no,41150,yes,yes,field_visit,18,jun,407,1,10,4,not_contacted,792000,no
43,private_office,White-collar,married,bachelor,no,97860,no,no,NTC,29,jan,345,5,-1,5,unsuccessful,576000,no
55,construction_worker,Blue-collar,married,slc,no,45930,no,no,field_visit,20,jun,806,1,-1,0,unsuccessful,129600,no
23,private_office,White-collar,divorced,bachelor,yes,81790,no,no,field_visit,11,sep,606,1,15,1,not_contacted,288000,no
36,shopkeeper,Business,single,slc,no,-8767,yes,no,unknown,14,sep,179,4,-1,4,not_contacted,181440,no
36,construction_worker,Blue-collar,single,slc,no,71457,yes,no,unknown,3,jun,451,2,10,4,unsuccessful,155520,no
25,construction_worker,Blue-collar,married,+2,no,18607,no,no,Ncell,16,dec,808,5,-1,0,unsuccessful,180000,no
66,shopkeeper,Business,divorced,masters,no,58478,yes,no,field_visit,28,jun,767,4,15,5,not_contacted,504000,no
44,IT_professional,White-collar,divorced,bachelor,no,72173,yes,no,Ncell,23,mar,1007,3,-1,3,unsuccessful,921600,no
62,farmer,Business,married,slc,no,56596,yes,no,field_visit,26,aug,1099,4,-1,2,not_contacted,108000,no
39,shopkeeper,Business,divorced,+2,no,58936,yes,yes,field_visit,7,mar,101,3,-1,0,unsuccessful,252000,no
22,private_office,White-collar,divorced,masters,no,70134,yes,no,field_visit,25,jan,875,1,-1,3,unsuccessful,432000,no
47,teacher,White-collar,married,bachelor,no,67047,yes,no,Ncell,30,oct,1029,4,-1,1,not_contacted,422400,no
70,bank_employee,White-collar,single,+2,no,179217,no,yes,unknown,21,jul,1072,1,-1,3,unsuccessful,390000,no
64,private_office,White-collar,divorced,+2,no,130324,yes,no,unknown,31,jan,224,3,-1,4,unsuccessful,300000,no
28,driver,Blue-collar,married,bachelor,no,52480,yes,yes,Ncell,30,sep,465,3,-1,5,not_contacted,288000,no
45,teacher,White-collar,married,slc,no,47115,yes,no,Ncell,8,jul,728,3,5,0,unsuccessful,190080,no
24,farmer,Business,married,none,no,7328,no,yes,NTC,17,mar,583,1,-1,3,not_contacted,43200,no
31,farmer,Business,single,bachelor,no,45598,yes,no,field_visit,4,jan,842,5,-1,5,not_contacted,240000,no
64,driver,Blue-collar,single,+2,no,62307,yes,no,field_visit,27,may,1075,1,-1,4,successful,180000,no
27,unemployed,Unemployed,married,bachelor,no,111659,no,yes,unknown,23,feb,610,4,-1,2,not_contacted,48000,no
22,unemployed,Unemployed,married,slc,no,91721,yes,no,field_visit,22,jul,997,4,10,5,successful,12960,no
27,shopkeeper,Business,divorced,slc,no,68600,no,no,field_visit,29,may,1135,1,-1,5,not_contacted,151200,no
23,shopkeeper,Business,married,slc,no,92408,yes,no,unknown,23,feb,836,1,-1,2,not_contacted,90720,no
61,bank_employee,White-collar,married,bachelor,no,66158,yes,no,NTC,18,aug,797,5,-1,4,not_contacted,624000,yes
67,unemployed,Unemployed,divorced,bachelor,no,110907,yes,no,Ncell,14,jun,806,4,-1,3,unsuccessful,48000,no
50,farmer,Business,divorced,+2,no,120025,yes,no,field_visit,26,may,221,4,-1,5,not_contacted,165000,no
53,bank_employee,White-collar,married,bachelor,yes,54885,yes,no,NTC,16,jul,1105,3,-1,1,not_contacted,686400,no
49,shopkeeper,Business,single,+2,no,41699,yes,no,field_visit,6,nov,554,3,-1,1,unsuccessful,231000,no
35,shopkeeper,Business,single,slc,no,74330,yes,no,Ncell,25,jan,147,3,-1,4,not_contacted,181440,no
57,bank_employee,White-collar,divorced,slc,no,24610,yes,no,NTC,11,sep,1056,5,-1,1,not_contacted,280800,no
65,shopkeeper,Business,married,slc,no,141251,yes,no,unknown,23,jul,74,2,-1,5,not_contacted,151200,no
52,unemployed,Unemployed,married,+2,no,92616,yes,yes,field_visit,28,apr,985,5,-1,3,unsuccessful,33000,no
25,farmer,Business,divorced,slc,no,68543,no,yes,Ncell,30,jun,817,1,-1,1,not_contacted,108000,yes
27,government_job,White-collar,married,bachelor,no,156088,yes,yes,NTC,14,mar,608,2,15,1,unsuccessful,528000,no
34,driver,Blue-collar,single,+2,no,116327,yes,no,field_visit,12,oct,809,1,-1,1,unsuccessful,180000,no
70,unemployed,Unemployed,divorced,bachelor,no,-32926,yes,yes,unknown,6,dec,318,3,-1,3,not_contacted,48000,no
50,bank_employee,White-collar,divorced,slc,no,80775,yes,yes,Ncell,31,mar,1036,2,-1,4,unsuccessful,308880,no
56,farmer,Business,divorced,bachelor,no,113056,yes,no,NTC,22,mar,876,5,-1,4,not_contacted,240000,no
41,government_job,White-collar,divorced,masters,no,74829,yes,no,field_visit,11,oct,325,5,-1,5,not_contacted,950400,no
57,teacher,White-collar,married,slc,no,26478,yes,no,Ncell,28,may,313,5,-1,5,not_contacted,172800,no
19,IT_professional,White-collar,married,+2,no,91982,yes,no,unknown,28,apr,213,2,-1,1,not_contacted,288000,no
28,farmer,Business,divorced,bachelor,no,106710,yes,no,NTC,3,may,965,2,10,1,not_contacted,240000,yes
57,unemployed,Unemployed,married,masters,no,82057,yes,no,field_visit,9,jun,1036,1,-1,2,not_contacted,72000,no
46,bank_employee,White-collar,married,+2,no,117945,yes,no,NTC,12,jan,631,3,-1,1,not_contacted,429000,yes
36,private_office,White-collar,single,bachelor,no,98868,yes,no,field_visit,10,apr,350,2,-1,1,unsuccessful,576000,no
41,shopkeeper,Business,married,+2,no,53090,no,no,Ncell,25,nov,51,4,-1,5,not_contacted,252000,no
70,driver,Blue-collar,single,+2,no,145684,yes,no,NTC,31,jun,725,2,-1,1,not_contacted,180000,no
41,driver,Blue-collar,divorced,bachelor,no,95189,no,no,NTC,13,mar,988,2,-1,2,not_contacted,345600,no
66,bank_employee,White-collar,married,+2,no,75062,no,yes,Ncell,28,aug,860,5,15,5,not_contacted,390000,no
26,teacher,White-collar,single,masters,no,34557,yes,no,unknown,27,dec,1079,4,-1,5,unsuccessful,576000,no
69,farmer,Business,divorced,+2,no,72645,yes,no,unknown,8,jan,512,5,10,5,unsuccessful,150000,no
69,driver,Blue-collar,married,masters,no,145486,yes,no,field_visit,7,may,534,1,-1,1,not_contacted,432000,no
48,teacher,White-collar,single,+2,no,98078,no,no,Ncell,15,may,1024,4,-1,3,not_contacted,264000,no
27,shopkeeper,Business,single,+2,no,-14620,yes,yes,unknown,19,oct,249,5,-1,4,unsuccessful,210000,yes
18,unemployed,Unemployed,single,bachelor,no,140234,yes,yes,unknown,3,apr,1128,4,-1,1,not_contacted,28800,no
67,driver,Blue-collar,single,+2,no,97827,yes,no,unknown,21,jul,696,4,-1,0,not_contacted,180000,no
50,teacher,White-collar,married,bachelor,no,86154,yes,yes,NTC,28,may,450,4,-1,3,unsuccessful,422400,no
62,construction_worker,Blue-collar,single,masters,yes,108456,yes,no,field_visit,24,dec,715,5,10,5,not_contacted,432000,yes
22,teacher,White-collar,married,bachelor,no,63735,yes,no,field_visit,26,apr,400,3,-1,4,not_contacted,230400,no
52,government_job,White-collar,single,slc,no,52281,yes,yes,NTC,23,aug,976,1,-1,1,unsuccessful,261360,no
27,private_office,White-collar,divorced,masters,no,61180,yes,yes,unknown,26,nov,1143,3,-1,0,successful,720000,no
29,unemployed,Unemployed,married,masters,no,106332,no,no,NTC,12,sep,1107,1,-1,0,not_contacted,72000,no
34,farmer,Business,divorced,+2,no,-6551,no,no,Ncell,20,aug,80,2,-1,4,not_contacted,150000,no
68,farmer,Business,single,bachelor,no,10373,yes,no,field_visit,17,apr,1076,5,-1,2,not_contacted,240000,no
30,unemployed,Unemployed,married,+2,no,83467,yes,no,NTC,9,jun,1052,5,-1,3,not_contacted,30000,no
39,government_job,White-collar,single,bachelor,no,84000,no,no,unknown,22,jun,745,3,-1,3,not_contacted,633600,no
20,teacher,White-collar,single,bachelor,no,84840,yes,no,unknown,20,oct,940,1,-1,3,successful,230400,yes
61,construction_worker,Blue-collar,single,bachelor,no,69832,yes,no,field_visit,24,mar,666,2,-1,2,not_contacted,288000,no
61,farmer,Business,married,bachelor,no,28974,yes,no,NTC,20,apr,785,4,-1,2,unsuccessful,240000,no
35,shopkeeper,Business,married,bachelor,no,85370,yes,no,NTC,16,jun,80,1,-1,0,not_contacted,403200,no
44,private_office,White-collar,married,slc,no,2839,no,no,Ncell,23,nov,521,2,-1,2,not_contacted,259200,yes
37,private_office,White-collar,single,masters,no,61548,no,no,NTC,1,dec,986,5,-1,0,unsuccessful,864000,no
30,farmer,Business,married,slc,no,25727,no,no,Ncell,15,dec,820,5,-1,0,successful,108000,no
62,farmer,Business,married,bachelor,no,88796,no,no,NTC,3,jun,744,3,10,4,unsuccessful,240000,no
31,shopkeeper,Business,divorced,bachelor,no,121889,no,no,Ncell,15,nov,561,1,-1,3,not_contacted,336000,no
23,government_job,White-collar,single,none,no,119635,no,no,field_visit,23,apr,335,3,-1,2,unsuccessful,95040,no
44,construction_worker,Blue-collar,single,slc,no,104955,yes,yes,Ncell,30,oct,84,1,-1,5,unsuccessful,155520,no
34,unemployed,Unemployed,divorced,+2,no,123031,yes,yes,field_visit,27,apr,401,4,-1,5,unsuccessful,30000,yes
27,driver,Blue-collar,divorced,slc,no,23245,no,no,unknown,26,sep,193,5,-1,2,not_contacted,129600,no
45,bank_employee,White-collar,divorced,none,no,43451,no,no,field_visit,31,dec,663,4,-1,1,unsuccessful,205920,no
22,IT_professional,White-collar,single,slc,no,39947,no,yes,field_visit,29,jun,770,3,-1,2,not_contacted,207360,no
67,construction_worker,Blue-collar,married,+2,no,99089,no,no,field_visit,2,apr,402,1,-1,2,unsuccessful,180000,no
70,IT_professional,White-collar,single,masters,no,105196,no,no,field_visit,1,jan,154,2,-1,0,not_contacted,1152000,no
50,construction_worker,Blue-collar,single,slc,yes,84909,yes,no,field_visit,21,apr,142,2,-1,0,not_contacted,142560,no
49,farmer,Business,divorced,+2,no,122031,no,no,Ncell,13,nov,1028,5,-1,0,unsuccessful,165000,no
46,IT_professional,White-collar,married,slc,no,32854,yes,no,unknown,30,oct,966,2,10,0,not_contacted,380160,no
18,private_office,White-collar,divorced,+2,no,127383,yes,no,field_visit,7,aug,625,3,-1,1,unsuccessful,180000,no
41,IT_professional,White-collar,divorced,+2,no,125680,no,no,field_visit,25,jan,553,4,-1,0,unsuccessful,576000,no
58,shopkeeper,Business,divorced,slc,no,51528,no,no,NTC,27,feb,841,5,-1,5,not_contacted,151200,no
69,government_job,White-collar,married,+2,no,31941,yes,no,NTC,8,may,836,3,-1,5,not_contacted,330000,no
25,bank_employee,White-collar,divorced,+2,no,162741,yes,no,NTC,16,nov,576,3,-1,5,not_contacted,390000,no
48,driver,Blue-collar,divorced,+2,no,52220,yes,yes,Ncell,12,mar,177,4,-1,3,unsuccessful,198000,no
57,construction_worker,Blue-collar,single,none,no,103752,yes,no,Ncell,10,mar,660,1,-1,1,not_contacted,86400,no
41,bank_employee,White-collar,divorced,masters,no,75512,yes,no,unknown,7,nov,435,5,-1,1,not_contacted,1123200,no
66,teacher,White-collar,divorced,bachelor,no,77296,yes,yes,unknown,15,aug,1133,3,-1,3,successful,384000,no
49,construction_worker,Blue-collar,single,none,no,18389,yes,yes,field_visit,13,apr,1182,2,-1,2,not_contacted,95040,no
36,construction_worker,Blue-collar,married,masters,no,67430,yes,yes,unknown,16,apr,551,1,-1,4,unsuccessful,518400,no
62,driver,Blue-collar,single,bachelor,no,29871,yes,no,Ncell,28,jul,184,5,-1,0,successful,288000,no
23,farmer,Business,divorced,slc,no,39622,no,no,Ncell,28,jun,453,1,-1,5,unsuccessful,64800,no
50,government_job,White-collar,single,masters,no,68619,no,no,NTC,2,jul,150,3,-1,5,not_contacted,871200,no
54,IT_professional,White-collar,single,+2,no,50963,no,no,Ncell,24,sep,922,4,-1,2,not_contacted,528000,no
36,IT_professional,White-collar,married,bachelor,no,101748,no,no,Ncell,20,mar,317,3,-1,5,not_contacted,921600,yes
64,private_office,White-collar,divorced,+2,no,67306,yes,no,unknown,31,feb,781,2,5,0,not_contacted,300000,no
53,shopkeeper,Business,single,+2,yes,105055,yes,yes,Ncell,23,nov,1075,4,-1,5,not_contacted,231000,no
47,IT_professional,White-collar,married,masters,no,109700,yes,no,Ncell,21,jun,435,4,5,3,not_contacted,1267200,yes
27,private_office,White-collar,married,+2,no,76869,yes,yes,unknown,13,feb,911,2,15,4,not_contacted,300000,no
40,IT_professional,White-collar,single,bachelor,no,69310,no,no,NTC,10,sep,496,2,10,1,not_contacted,921600,no
29,unemployed,Unemployed,single,masters,no,49178,yes,no,NTC,13,jun,704,1,-1,3,not_contacted,72000,no
67,farmer,Business,divorced,+2,no,-1069,no,no,field_visit,20,aug,836,1,-1,0,not_contacted,150000,no
43,government_job,White-collar,married,masters,no,178462,no,no,Ncell,1,oct,975,1,-1,3,not_contacted,950400,no
22,farmer,Business,divorced,masters,no,19675,yes,no,NTC,11,feb,1185,4,-1,5,not_contacted,216000,yes
35,government_job,White-collar,single,bachelor,no,63979,yes,no,unknown,24,mar,718,3,15,1,not_contacted,633600,no
70,construction_worker,Blue-collar,divorced,bachelor,no,162904,yes,no,field_visit,17,sep,124,5,-1,2,not_contacted,288000,yes
34,private_office,White-collar,single,+2,no,145356,yes,yes,field_visit,15,jan,1087,2,-1,1,not_contacted,300000,no
20,unemployed,Unemployed,divorced,bachelor,no,70414,yes,yes,NTC,14,sep,1125,3,-1,5,successful,28800,no
40,government_job,White-collar,married,bachelor,no,122087,yes,yes,unknown,23,nov,1048,4,-1,5,not_contacted,633600,no
52,farmer,Business,single,bachelor,no,98112,yes,no,NTC,2,aug,488,1,-1,3,not_contacted,264000,no
56,teacher,White-collar,married,masters,no,75245,yes,no,Ncell,5,mar,1048,1,-1,4,not_contacted,576000,no
35,driver,Blue-collar,single,slc,no,54961,no,no,field_visit,3,aug,326,1,-1,0,successful,155520,yes
67,unemployed,Unemployed,married,bachelor,no,130450,yes,yes,unknown,3,apr,1143,2,-1,0,not_contacted,48000,no
32,bank_employee,White-collar,married,slc,no,67615,yes,no,NTC,20,may,1003,2,-1,4,unsuccessful,280800,no
18,driver,Blue-collar,divorced,bachelor,no,65934,no,yes,Ncell,29,apr,344,5,-1,2,not_contacted,172800,no
49,construction_worker,Blue-collar,single,+2,no,19393,yes,yes,unknown,5,jun,430,4,-1,2,unsuccessful,198000,yes
28,farmer,Business,divorced,bachelor,no,16117,yes,yes,Ncell,12,sep,1036,5,10,2,unsuccessful,240000,no
19,shopkeeper,Business,married,bachelor,no,32047,yes,no,NTC,15,jul,96,5,-1,2,not_contacted,201600,no
21,unemployed,Unemployed,single,bachelor,no,81993,yes,yes,NTC,11,mar,987,2,-1,1,successful,28800,no
27,unemployed,Unemployed,married,masters,no,58274,no,no,Ncell,17,feb,1066,3,-1,2,unsuccessful,72000,no
51,government_job,White-collar,single,masters,no,70851,yes,no,unknown,16,jul,1170,2,-1,1,unsuccessful,871200,no
46,bank_employee,White-collar,married,+2,no,164931,no,no,unknown,9,oct,379,1,-1,3,unsuccessful,429000,no
33,bank_employee,White-collar,married,none,no,67562,no,no,Ncell,30,mar,917,4,-1,2,successful,187200,no
66,government_job,White-collar,married,bachelor,no,105056,no,yes,Ncell,30,aug,414,3,-1,4,not_contacted,528000,no
67,IT_professional,White-collar,single,+2,no,114013,yes,yes,field_visit,10,jul,76,5,-1,1,unsuccessful,480000,no
37,government_job,White-collar,divorced,+2,no,55183,yes,yes,Ncell,8,nov,1002,5,-1,5,successful,396000,no
38,teacher,White-collar,single,bachelor,no,92974,no,no,NTC,30,dec,290,3,-1,0,not_contacted,460800,no
36,private_office,White-collar,divorced,+2,no,89720,yes,no,NTC,9,sep,605,1,-1,4,not_contacted,360000,no
64,unemployed,Unemployed,married,masters,no,114253,no,yes,NTC,28,jan,611,2,-1,0,not_contacted,72000,no
20,private_office,White-collar,single,bachelor,no,75716,yes,no,NTC,23,jul,578,1,5,0,not_contacted,288000,yes
67,government_job,White-collar,single,bachelor,no,99415,yes,no,NTC,12,apr,902,2,-1,5,not_contacted,528000,no
65,unemployed,Unemployed,married,+2,no,106919,yes,no,unknown,11,jan,400,1,-1,1,not_contacted,30000,no
48,construction_worker,Blue-collar,divorced,bachelor,no,39352,yes,yes,NTC,2,mar,229,2,-1,3,not_contacted,316800,no
70,IT_professional,White-collar,married,bachelor,yes,59921,yes,no,Ncell,28,oct,563,5,-1,1,not_contacted,768000,no
64,construction_worker,Blue-collar,married,bachelor,no,36170,yes,no,unknown,29,dec,506,3,-1,0,not_contacted,288000,no
